When was Shakespeare baptized?	April 26, 1564
What was the significant result of the Bishops' Wars?	Execution of Charles I
Who were the primary supporters of the Presbyterian system?	The Scots
Who were the primary opponents of the Episcopal system?	English Parliament and the Scots
What was the central issue of the Bishops' Wars?	Control and governance of the Church of Scotland
How many pamphlets did Milton publish during the controversy?	Five
Who argued for the maintenance of the Church of England's liturgy and hierarchy?	Bishop Joseph Hall
What was the main contention between the Episcopal and Presbyterian systems?	Governance of the church
What was the reaction of the Lower House to the Root and Branch Petition?	Hesitation
When did Milton defend the clergymen known as Symectymnuus?	During 1641-1642
What was the response of the anti-prelatical movement to William Laud's policies?	Opposition
"Who published ""An Humble Remonstrance to the High Court of Parliament"" in 1641?"	Bishop Joseph Hall
"What was the purpose of ""An Humble Remonstrance"" published by Bishop Joseph Hall?"	To maintain the Church of England's liturgy and episcopal hierarchy
Who were the authors represented by the acronym Symectymnuus?	Five puritan clergymen
What is the full title of Milton's first anti-prelatical tract?	Of Reformation in England and the Causes That Hitherto Hindered It
What did Milton want to reform in his first anti- prelatical tract?	Both the monarchy and the Church of England
Which king's reign did Milton examine for historical changes in the Church of England?	Henry VIII
What did Milton criticize about the Church of England in his first tract?	Its resemblance to the Roman Catholic Church
What type of government did Milton assert influenced the structure of the Church of England?	Monarchical civil government
"What concept did Milton use as a metaphor for his analysis of religion in ""Of Reformation""?"	The body
"What system of church governance did Milton favor in ""Of Reformation""?"	Presbyterian system
What did Milton believe should be the relationship between the soul and spiritual truth?	Direct relationship without intermediaries
How did Milton view the physical construction of religious truth?	Through scripture
What was the primary purpose of 'reformation' according to Milton?	To restore the ideas of the proper place
What is the title of Milton's second anti-prelatical tract?	Of Prelatical Episcopacy
"What prompted Milton to write ""Of Prelatical Episcopacy""?"	The Judgement of Dr Reynolds Touching the Originals of Episcopacy by James Usher
According to Milton, how can religious truth be attained?	Through scripture alone
What did Milton assert about the difference between a bishop and a presbyter?	There is no difference
What did Milton oppose in the establishment of the church?	Hierarchical system by bishops
What is the title of Milton's third anti-prelatical tract?	Animadversions: Upon the Remonstrants Defence, Against Semectymnuus
What was the primary focus of Milton's third tract?	Attacking Joseph Hall's personal views
What did Milton argue was more important than any other consideration in religion?	Individual reading of the Bible
What type of religious structure did Milton advocate for in his third tract?	Direct relationship between preacher and congregation
What is the title of Milton's fourth anti-prelatical tract?	The Reason of Church Government Urged Under Prelaty
What was the starting point of discussion in Milton's fourth tract?	Language and the form of truth
Which system did Milton endorse as a replacement for the episcopal hierarchy in his fourth tract?	Presbyterian system
What is the title of Milton's fifth anti-prelatical tract?	An Apology for Semectymnuus
What did Milton argue was a consequence of defending the truth in his fifth tract?	Personal attacks
What did Milton praise as a way to hinder a dictatorial monarchy in his fifth tract?	The formation of parliament
What prompted Milton to publish his divorce tracts?	His wife Mary Powell deserting him
How many divorce tracts did Milton publish?	Four
What was the broader context for the publication of Milton's divorce tracts?	Reforming divorce laws
Which tract was addressed to the Parliament and the Westminster Assembly of Divines?	The Doctrine and Discipline of Divorce
"In ""The Doctrine and Discipline of Divorce,"" what did Milton argue a true marriage consists of?"	Mind and body compatibility
What did Milton believe about those inaptly joined in marriage?	They should be allowed to divorce
"What did Milton emphasize in ""The Doctrine and Discipline of Divorce"" regarding a godly separation?"	That it was necessary for personal happiness
Which arguments did Milton draw upon in his divorce tracts?	Historical, theological, and scriptural
"To whom was ""The Judgement of Martin Bucer Concerning Divorce"" dedicated?"	Edward VI
"What does ""The Judgement of Martin Bucer"" primarily comprise?"	"Translations of pro-divorce arguments from Martin Bucer's ""De Regno Christi"""
Which two tracts were published together in 1645?	Tetrachordon and Colasterion
"In ""Tetrachordon,"" what did Milton connect to support the justification of divorce?"	Four Scriptural passages
"Which figure criticized Milton's ""The Doctrine and Discipline of Divorce""?"	Herbert Palmer
"How did John Wilkins categorize ""Tetrachordon""?"	"Under ""Of Divorce and Polygamy"""
"What is the meaning of ""Colasterian"" in Greek?"	Instrument of punishment or house of correction
"What was the primary purpose of Milton's ""Colasterion""?"	To respond to a pamphlet attacking his divorce tracts
"What idea did Milton promote in ""Colasterion""?"	Separation of incompatible spouses
How were Milton's divorce tracts received by religious figures?	They were banned
What did Milton assert was the heaviest effect of tyranny in the Commonwealth?	Household unhappiness
What did Milton aim to persuade Parliament to do through his tracts?	Reform divorce laws
"To whom is Milton's treatise ""Of Education"" addressed?"	Samuel Hartlib
"When was ""Of Education"" reprinted as part of Milton's collected poems?"	1673
"Which thinker's ideas contributed to Milton's expression in ""Of Education""?"	John Comenius
"What is the focus of Milton's educational ideal in ""Of Education""?"	Christian Humanism
According to Milton, what is the purpose of learning?	To repair the ruins of our first parents by regaining to know God aright
"What does Milton's concept of ""complete and generous education"" aim to achieve?"	Just, skilful, and magnanimous performance of all offices
"In what year did ""Areopagitica"" appear?"	1644
"What event led to the breakdown in censorship allowing Milton to publish ""Areopagitica""?"	The outbreak of the civil war
"What is the main argument of ""Areopagitica""?"	For the liberty of unlicensed printing
"What historical site does the title ""Areopagitica"" refer to?"	The Aeropagus
What does Milton argue free speech allows individuals to attain?	The light of grace
"In “Areopagitica,"" what does Milton compare books to?"	Living beings
What does Milton equate the destruction of a book to?	Murder of reason
What vision does Milton contrast with his own vision of liberty?	Laudian and Presbyterian vision
How does Milton describe the suppression of an entire issue of a book?	As a massacre of the human spirit
According to Milton, what would denying proper freedom be a challenge to?	The revelation of God's liberty
"What style does Milton adopt in ""Areopagitica""?"	Oratorical, partly classical, and partly biblical
"In ""Areopagitica,"" what does Milton urge his Christian duty to speak out in the name of?"	Truth
What does Milton believe a good book contains?	Potency of life
What comparison does Milton make between the persecution of heretics and suppression of ideas?	Unlawful murder
"What metaphor does Milton use to describe England in ""Areopagitica""?"	An eagle
"What does Milton see as the role of Parliament in ""Areopagitica""?"	To uphold liberty
"What does Milton compare the suppression of ideas to in ""Areopagitica""?"	Murder
"What amendment to the United States Constitution is ""Areopagitica"" often cited as relevant to?"	The First Amendment
"What does Milton describe a good book as in ""Areopagitica""?"	The precious lifeblood of a master spirit
What is the title of Milton's work published in 1649 arguing that people have the right to decide, depose, and punish tyrants?	The Tenure of Kings and Magistrates
"Who did Milton attack in ""The Tenure of Kings and Magistrates"" for their belief in church discipline and state authority?"	Presbyterians
According to Milton, from whom do kings derive their authority?	The people
What does Milton argue is lawful and has been held through all ages regarding tyrants or wicked kings?	To call them to account, depose, and put them to death
"What did Milton advocate for in ""The Tenure of Kings and Magistrates""?"	Supreme civil power
What was Milton's first assignment in his official capacity as an ‘apologist for the new republic’?	Eikonoklastes
"What book was ""Eikonoklastes"" a reply to?"	Eikon Basilike
"Who was portrayed as a Christian martyr in ""Eikon Basilike""?"	Charles I
"What was Milton's goal in ""Eikonoklastes""?"	To discredit the image of Charles I as a Christian martyr
What was the title of Milton's work published in 1651, written in Latin for an international audience?	Pro Populo Anglicano Defensio
"Who was the target of Milton's ""Pro Populo Anglicano Defensio""?"	Salmasius
"What type of arguments did Milton blend in ""Pro Populo Anglicano Defensio""?"	Legal, historical, and moral
"In what year did Milton produce ""Defensio Secunda""?"	1654
"Who was the primary target of Milton's personal abuse in ""Defensio Secunda""?"	Alexander More
Which of Milton's works contains autobiographical passages on his blindness?	Defensio Secunda
"To whom was ""A Treatise of Civil Power in Ecclesiastical Causes"" addressed?"	Richard Cromwell's first parliament
"What did Milton argue against in ""A Treatise of Civil Power in Ecclesiastical Causes""?"	The use of civil power to enforce orthodoxy in religious belief
"What Protestant conception did Milton try to reinforce in ""A Treatise of Civil Power in Ecclesiastical Causes""?"	Every man with his Bible should construct his own path to God
"What work did Milton publish in response to ""The City of the King's Blood to Heaven against the English Parricides""?"	Defensio Secunda
"What year was ""A Treatise of Civil Power in Ecclesiastical Causes"" published?"	1659
"To whom was ""Considerations Touching the Likeliest Means to Remove Hirelings out of the Church"" (1659) addressed?"	The newly reinstated Rump Parliament
"What was the main argument in ""Considerations Touching the Likeliest Means to Remove Hirelings out of the Church""?"	Against state funding for clergy
Who was Richard Cromwell in relation to Milton's work?	Oliver Cromwell's son
What was the Rump Parliament?	The remaining part of the Long Parliament after the dismissal of the Presbyterians
What is the title of Milton's work published on the eve of the Restoration in 1660?	The Readie and Easie Way to Establish a Free Commonwealth
"What did Milton propose in ""The Readie and Easie Way to Establish a Free Commonwealth""?"	The establishment of a 'Grand Council of ablest man chosen by the people’
"What was Milton's aim in ""The Readie and Easie Way to Establish a Free Commonwealth""?"	To defend the 'Good old Cause' of republicanism
"What did Milton caution the English people about in ""The Readie and Easie Way to Establish a Free Commonwealth""?"	The return of 'the old encroachments upon our consciences' if an Anglican monarchy is restored
